,Tweets,tweet_id,User,user_id,User_status_count,User_followers,User_friend_count,User_location,fav_count,rt_count,tweet_date,user_verified,User_friends_count
121,"Join the Ericsson team! See our latest #ProductMgmt job openings, including ""R&amp;D Regulatory and Security Leader"", v… https://t.co/8oJHKhMLI7",1286214194942025730,TMJ-FRA Jobs,38177097,719,497,,France,0,0,2020-07-23 08:18:55,False,310.0
122,"RT @evazhengll: Ericsson has won at least part of the deal to deploy Deutsche Telekom’s 5G RAN across Germany.
French cybersecurity agency…",1286214070991912962,...,20842368,15969,4293,,,0,8,2020-07-23 08:18:25,False,414.0
123,"RT @evazhengll: Ericsson has won at least part of the deal to deploy Deutsche Telekom’s 5G RAN across Germany.
French cybersecurity agency…",1286214053082402816,Rana Qadeer,839441938881339392,46296,414,,"دبي, الامارات العربية المتحدة",0,8,2020-07-23 08:18:21,False,1289.0
124,"This job is now open at Ericsson in #Taguig, NCR. Follow us and turn on mobile alerts to hear about jobs like these… https://t.co/hvgGbrO9As",1286213607387066369,TMJ-PHI Jobs,41187049,783,667,,Phillipines,0,0,2020-07-23 08:16:35,False,276.0
125,@SacchisMilan * in the playstyle,1286213539905011714,Nico 🇸🇪🇮🇷,1107385720174530560,1305,91,,"Uppsala, Sverige",0,0,2020-07-23 08:16:19,False,211.0
126,@SacchisMilan Hes more like hazard imo,1286213488109670401,Nico 🇸🇪🇮🇷,1107385720174530560,1305,91,,"Uppsala, Sverige",1,0,2020-07-23 08:16:06,False,211.0
127,"RT @evazhengll: Ericsson has won at least part of the deal to deploy Deutsche Telekom’s 5G RAN across Germany.
French cybersecurity agency…",1286212484978941955,Fernando Chau ,2720051267,26271,66,,,0,8,2020-07-23 08:12:07,False,118.0
128,"@sally_ericsson @FT I watched a pod cast yesterday evening from Marburg, where two professors from the Uni Klinik s… https://t.co/NizHEkUy9i",1286212484106420225,Jane Gilbert,708570290629033985,87959,2033,,"Frankfurt am Main, Germany",3,0,2020-07-23 08:12:07,False,562.0
129,RT @EricssonNetwork: #DYK there are now 140 service providers with dedicated fixed wireless access offerings? We're offering the Do's and D…,1286212462254202881,Paul Cowling,2396551453,5869,1772,,"Stockholm,  Sweden",0,3,2020-07-23 08:12:02,False,1875.0
130,Just finished reading https://t.co/jaT3ohIQBp...,1286212416737546241,Tyson Key,16086285,31392,932,,United Kingdom,1,0,2020-07-23 08:11:51,False,982.0
131,RT @_cdublin: Vodafone is the first mobile operator in Ireland to trial Ericsson's Dynamic Spectrum Sharing tech. #TeamEricsson https://t.c…,1286211462340517890,Sven van der Meer,274186593,13120,389,,Earth,0,2,2020-07-23 08:08:03,False,785.0
132,Ericsson reports second quarter results 2020. #TeamEricsson https://t.co/XLN96DQvwd,1286211457403613184,Achyut Shukla,3177054132,1223,89,,"Gurgaon, India",0,0,2020-07-23 08:08:02,False,57.0
133,"RT @Cor_Com: #5G, @deutschetelekom rafforza la partnership con @ericsson      https://t.co/SwuqS7Taqz https://t.co/ZNjIkW8BJc",1286211230642745344,Abraham VanVarenberg,47671682,22937,288,,"Las Vegas, Nevada",0,1,2020-07-23 08:07:08,False,483.0
134,"Ericsson wins some DT 5G RAN work, but what about Huawei? Swedish kit vendor Ericsson has won at least part of the… https://t.co/jjORJLUNmS",1286210967320371201,Bk..,139546268,9704,299,,parental advisory..it's satire,0,0,2020-07-23 08:06:05,False,2110.0
135,"RT @evazhengll: Ericsson has won at least part of the deal to deploy Deutsche Telekom’s 5G RAN across Germany.
French cybersecurity agency…",1286210451966242819,Zeeshan Tariq,2189041329,19234,124,,,0,8,2020-07-23 08:04:03,False,298.0
136,"Click the link in our bio to see currently open #IT jobs like ""Solution Architect for Network Design and Optimizati… https://t.co/DZeDdsDJOZ",1286210161900568576,TMJ-SPN IT Jobs,33768480,267,335,,Spain,0,0,2020-07-23 08:02:53,False,258.0
137,Chinese Commerce Ministry weighs export controls on Nokia and Ericsson China-made products if EU countries move to… https://t.co/JKiPG8WA1Q,1286210072297771008,Matjaz Nahtigal,885877975564128256,853,118,,"Ljubljana, Slovenia",0,0,2020-07-23 08:02:32,False,180.0
138,"#5G, @deutschetelekom rafforza la partnership con @ericsson      https://t.co/SwuqS7Taqz https://t.co/ZNjIkW8BJc",1286209601248034816,Cor.Com,148815037,23704,8233,,Italia,2,1,2020-07-23 08:00:40,False,556.0
139,"RT @ericsson: 🚨 The Ericsson Innovation Awards are back! 🚨

This year, #EIA2020 calls on university students worldwide to set major change…",1286208917861797889,Ericsson Deutschland,852436798013878272,3742,1371,,Deutschland,0,7,2020-07-23 07:57:57,True,2644.0
